Iterations,Velocity,Newton Energy,Gradient Energy,Gradient Mass Energy,Newton Direction L2,Newton Direction Linf,Newton Direction Mass Norm
2,7.54E-06,7.18E-08,1.02E-07,1.76E-07,5.16E-08,4.19E-08,9.60E-08
2,7.65E-06,7.27E-08,1.04E-07,1.79E-07,5.19E-08,4.18E-08,9.63E-08
2,7.75E-06,7.36E-08,1.06E-07,1.81E-07,5.22E-08,4.16E-08,9.64E-08
2,7.84E-06,7.44E-08,1.08E-07,1.84E-07,5.24E-08,4.13E-08,9.65E-08
2,7.92E-06,7.51E-08,1.10E-07,1.86E-07,5.26E-08,4.10E-08,9.65E-08
2,7.99E-06,7.58E-08,1.11E-07,1.88E-07,5.27E-08,4.06E-08,9.64E-08
2,8.05E-06,7.63E-08,1.13E-07,1.90E-07,5.27E-08,4.02E-08,9.62E-08
2,8.10E-06,7.68E-08,1.14E-07,1.92E-07,5.27E-08,3.98E-08,9.59E-08
2,8.15E-06,7.72E-08,1.16E-07,1.94E-07,5.27E-08,3.93E-08,9.55E-08
2,8.18E-06,7.75E-08,1.17E-07,1.95E-07,5.25E-08,3.87E-08,9.51E-08
2,8.20E-06,7.77E-08,1.18E-07,1.97E-07,5.24E-08,3.81E-08,9.45E-08
2,8.22E-06,7.78E-08,1.19E-07,1.98E-07,5.21E-08,3.75E-08,9.39E-08
2,8.22E-06,7.78E-08,1.19E-07,1.99E-07,5.18E-08,3.69E-08,9.32E-08
2,8.22E-06,7.77E-08,1.20E-07,2.00E-07,5.15E-08,3.62E-08,9.24E-08
2,8.20E-06,7.76E-08,1.20E-07,2.00E-07,5.11E-08,3.55E-08,9.16E-08
2,8.18E-06,7.74E-08,1.21E-07,2.01E-07,5.07E-08,3.48E-08,9.07E-08
2,8.15E-06,7.70E-08,1.21E-07,2.01E-07,5.02E-08,3.41E-08,8.97E-08
2,8.11E-06,7.66E-08,1.21E-07,2.01E-07,4.96E-08,3.34E-08,8.87E-08
2,8.06E-06,7.61E-08,1.21E-07,2.01E-07,4.91E-08,3.26E-08,8.76E-08
2,8.00E-06,7.56E-08,1.21E-07,2.01E-07,4.84E-08,3.18E-08,8.65E-08
2,7.93E-06,7.49E-08,1.20E-07,2.00E-07,4.78E-08,3.11E-08,8.53E-08
2,7.86E-06,7.42E-08,1.20E-07,2.00E-07,4.71E-08,3.03E-08,8.40E-08
2,7.77E-06,7.33E-08,1.19E-07,1.99E-07,4.63E-08,2.95E-08,8.27E-08
2,7.68E-06,7.25E-08,1.18E-07,1.98E-07,4.56E-08,2.87E-08,8.14E-08
2,7.58E-06,7.15E-08,1.17E-07,1.96E-07,4.48E-08,2.79E-08,8.00E-08
2,7.47E-06,7.04E-08,1.16E-07,1.95E-07,4.39E-08,2.76E-08,7.85E-08
2,7.35E-06,6.93E-08,1.14E-07,1.93E-07,4.30E-08,2.75E-08,7.70E-08
2,7.23E-06,6.82E-08,1.13E-07,1.91E-07,4.21E-08,2.72E-08,7.55E-08
2,7.10E-06,6.69E-08,1.11E-07,1.89E-07,4.12E-08,2.70E-08,7.39E-08
2,6.96E-06,6.56E-08,1.10E-07,1.86E-07,4.03E-08,2.67E-08,7.23E-08
2,6.82E-06,6.42E-08,1.08E-07,1.84E-07,3.93E-08,2.63E-08,7.07E-08
2,6.67E-06,6.28E-08,1.06E-07,1.81E-07,3.83E-08,2.60E-08,6.90E-08
2,6.51E-06,6.14E-08,1.04E-07,1.78E-07,3.73E-08,2.55E-08,6.73E-08
2,6.35E-06,5.98E-08,1.02E-07,1.74E-07,3.63E-08,2.51E-08,6.56E-08
2,6.18E-06,5.83E-08,9.94E-08,1.71E-07,3.52E-08,2.46E-08,6.39E-08
2,6.02E-06,5.67E-08,9.70E-08,1.67E-07,3.42E-08,2.41E-08,6.21E-08
2,5.85E-06,5.50E-08,9.45E-08,1.64E-07,3.31E-08,2.35E-08,6.03E-08
2,5.67E-06,5.34E-08,9.20E-08,1.60E-07,3.21E-08,2.29E-08,5.85E-08
2,5.49E-06,5.17E-08,8.93E-08,1.56E-07,3.10E-08,2.23E-08,5.67E-08
2,5.31E-06,4.99E-08,8.66E-08,1.51E-07,2.99E-08,2.17E-08,5.48E-08
2,5.13E-06,4.82E-08,8.38E-08,1.47E-07,2.88E-08,2.10E-08,5.30E-08
2,4.94E-06,4.64E-08,8.10E-08,1.42E-07,2.77E-08,2.04E-08,5.11E-08
2,4.75E-06,4.46E-08,7.81E-08,1.38E-07,2.67E-08,1.97E-08,4.93E-08
2,4.57E-06,4.28E-08,7.52E-08,1.33E-07,2.56E-08,1.89E-08,4.74E-08
2,4.37E-06,4.10E-08,7.22E-08,1.28E-07,2.45E-08,1.82E-08,4.56E-08
2,4.18E-06,3.92E-08,6.92E-08,1.23E-07,2.35E-08,1.75E-08,4.37E-08
2,3.99E-06,3.74E-08,6.62E-08,1.18E-07,2.24E-08,1.67E-08,4.19E-08
2,3.80E-06,3.56E-08,6.31E-08,1.13E-07,2.14E-08,1.60E-08,4.01E-08
2,3.61E-06,3.39E-08,6.01E-08,1.08E-07,2.04E-08,1.52E-08,3.83E-08
2,3.42E-06,3.21E-08,5.70E-08,1.03E-07,1.94E-08,1.45E-08,3.65E-08
2,3.23E-06,3.03E-08,5.40E-08,9.74E-08,1.84E-08,1.37E-08,3.47E-08
2,3.05E-06,2.86E-08,5.10E-08,9.22E-08,1.74E-08,1.29E-08,3.30E-08
2,2.86E-06,2.69E-08,4.80E-08,8.71E-08,1.65E-08,1.22E-08,3.13E-08
2,2.68E-06,2.52E-08,4.51E-08,8.19E-08,1.55E-08,1.14E-08,2.96E-08
2,2.51E-06,2.36E-08,4.22E-08,7.68E-08,1.46E-08,1.07E-08,2.79E-08
2,2.33E-06,2.20E-08,3.93E-08,7.18E-08,1.37E-08,9.97E-09,2.63E-08
2,2.17E-06,2.04E-08,3.65E-08,6.68E-08,1.29E-08,9.26E-09,2.47E-08
2,2.00E-06,1.89E-08,3.38E-08,6.20E-08,1.20E-08,8.57E-09,2.32E-08
2,1.85E-06,1.74E-08,3.11E-08,5.72E-08,1.12E-08,7.89E-09,2.17E-08
2,1.69E-06,1.60E-08,2.85E-08,5.25E-08,1.05E-08,7.36E-09,2.02E-08
2,1.55E-06,1.46E-08,2.60E-08,4.80E-08,9.69E-09,6.96E-09,1.88E-08
2,1.40E-06,1.32E-08,2.36E-08,4.36E-08,8.97E-09,6.58E-09,1.75E-08
2,1.27E-06,1.20E-08,2.13E-08,3.94E-08,8.27E-09,6.19E-09,1.62E-08
2,1.14E-06,1.08E-08,1.90E-08,3.53E-08,7.59E-09,5.81E-09,1.49E-08
